resource_uri,law_name,law_code,announce_date,enforce_date
http://lod.law.go.kr/resource/LSI276899,인신매매등방지 및 피해자보호 등에 관한 법률,276899,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI276877,성매매방지 및 피해자보호 등에 관한 법률,276877,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI272785,지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙,272785,2025-07-08,2025-07-08
http://lod.law.go.kr/resource/LSI273927,신용보증기금법 시행령,273927,2025-09-30,2025-10-02
http://lod.law.go.kr/resource/LSI275181,부동산투자회사법 시행령,275181,2025-09-30,2025-09-30
http://lod.law.go.kr/resource/LSI279445,특정물품등의조달에관한국가를당사자로하는계약에관한법률시행특례규칙,279445,2025-10-31,2025-10-31
http://lod.law.go.kr/resource/LSI259323,선거관리위원회 개인정보 보호에 관한 규칙,259323,2024-01-19,2024-01-19
http://lod.law.go.kr/resource/LSI278681,임금채권보장법 시행규칙,278681,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270549,지역신용보증재단법 시행령,270549,2025-04-08,2025-04-22
http://lod.law.go.kr/resource/LSI272631,민사집행규칙,272631,2025-06-26,2025-07-12
http://lod.law.go.kr/resource/LSI272655,민사소송규칙,272655,2025-06-26,2025-07-12
http://lod.law.go.kr/resource/LSI264885,부동산등기 특별조치법에 따른 과태료 부과ㆍ징수규칙,264885,2024-08-13,2024-08-13
http://lod.law.go.kr/resource/LSI276123,상속세 및 증여세법,276123,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266399,부동산서비스산업 진흥법 시행규칙,266399,2024-11-12,2024-11-12
http://lod.law.go.kr/resource/LSI277589,국가를 당사자로 하는 계약에 관한 법률 시행령,277589,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266981,부동산 가격공시에 관한 법률 시행령,266981,2024-12-10,2024-12-10
http://lod.law.go.kr/resource/LSI277615,상속세 및 증여세법 시행령,277615,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI261415,국가를 당사자로 하는 계약에 관한 법률,261415,2024-03-26,2024-09-27
http://lod.law.go.kr/resource/LSI268453,한국부동산원법 시행령,268453,2025-01-21,2025-01-31
http://lod.law.go.kr/resource/LSI277773,지방자치단체를 당사자로 하는 계약에 관한 법률 시행령,277773,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270351,개인정보 보호법,270351,2025-04-01,2025-10-02
http://lod.law.go.kr/resource/LSI277629,특정조달을 위한 국가를 당사자로 하는 계약에 관한 법률 시행령 특례규정,277629,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI266929,난민법 시행규칙,266929,2024-12-03,2024-12-03
http://lod.law.go.kr/resource/LSI269879,종합부동산세법,269879,2025-03-14,2025-03-14
http://lod.law.go.kr/resource/LSI267649,주택임대차보호법 시행령,267649,2024-12-31,2025-03-01
http://lod.law.go.kr/resource/LSI268591,지역신용보증재단법,268591,2025-01-21,2025-04-22
http://lod.law.go.kr/resource/LSI271013,국가를 당사자로 하는 계약에 관한 법률 시행규칙,271013,2025-05-01,2025-05-01
http://lod.law.go.kr/resource/LSI270627,도시철도채권 매입사무 취급규칙,270627,2025-04-11,2025-04-11
http://lod.law.go.kr/resource/LSI271123,전세사기피해자 지원 및 주거안정에 관한 특별법,271123,2025-05-20,2025-05-20
http://lod.law.go.kr/resource/LSI277961,부동산서비스산업 진흥법 시행령,277961,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI267689,상가건물 임대차보호법 시행령,267689,2024-12-31,2025-03-01
http://lod.law.go.kr/resource/LSI269603,개인정보 보호위원회 직제 시행규칙,269603,2025-03-04,2025-03-04
http://lod.law.go.kr/resource/LSI269477,종합부동산세법 시행령,269477,2025-02-28,2025-02-28
http://lod.law.go.kr/resource/LSI277441,성매매방지 및 피해자보호 등에 관한 법률 시행령,277441,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI263075,농림수산업자 신용보증법 시행규칙,263075,2024-05-31,2024-05-31
http://lod.law.go.kr/resource/LSI277461,인신매매등방지 및 피해자보호 등에 관한 법률 시행령,277461,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI277455,양육비 이행확보 및 지원에 관한 법률 시행령,277455,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI259391,우주손해배상법,259391,2024-01-26,2024-05-27
http://lod.law.go.kr/resource/LSI278839,양육비 이행확보 및 지원에 관한 법률 시행규칙,278839,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI273705,난민법 시행령,273705,2025-09-16,2025-09-19
http://lod.law.go.kr/resource/LSI273851,전세사기피해자 지원 및 주거안정에 관한 특별법 시행규칙,273851,2025-09-19,2025-09-19
http://lod.law.go.kr/resource/LSI278831,성매매방지 및 피해자보호 등에 관한 법률 시행규칙,278831,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI278849,인신매매등방지 및 피해자보호 등에 관한 법률 시행규칙,278849,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI270903,부동산 거래신고 등에 관한 법률 시행령,270903,2025-04-29,2025-04-29
http://lod.law.go.kr/resource/LSI277017,자동차손해배상 보장법,277017,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI273745,개인정보 보호법 시행령,273745,2025-09-23,2025-10-02
http://lod.law.go.kr/resource/LSI277081,유류오염손해배상 보장법,277081,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI278137,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률 시행령,278137,2025-10-01,2025-10-01
http://lod.law.go.kr/resource/LSI279347,법인 및 재외국민의 부동산등기용등록번호 부여에 관한 규칙,279347,2025-10-31,2025-11-03
http://lod.law.go.kr/resource/LSI276273,공장 및 광업재단 저당법,276273,2025-10-01,2025-10-01
